exit_id,employee_id,exit_date,exit_type,exit_reason,rehire_eligible,exit_interview_score,comments
400093,100438,2023/10/13,Voluntary,Better compensation,Yes,1,Employee cited stronger pay package from another employer.
400094,100442,2021-03-18,Involuntary,Performance termination,0,4,Employment ended due to sustained performance issues.
400095,100446,2021-06-06,Voluntary,Better compensation,Yes,2,Employee cited stronger pay package from another employer.
400096,100451,08/19/2025,VOLUNTARY,Better compensation,Yes,6,Employee cited stronger pay package from another employer.
400097,100456,29-07-2024,voluntary,Better compensation,Yes,2,Employee cited stronger pay package from another employer.
400098,100460,"Aug 20, 2020",VOLUNTARY,Poor culture fit,1,,Employee felt the culture did not match expectations.
400099,100461,"Jul 18, 2025",voluntary,Relocation,Yes,5,Employee moved to another city or country.
400100,100467,2025-01-13,VOLUNTARY,Personal reasons,1,1,Employee left for personal or family reasons.
400101,100471,2023/03/27,Voluntary,Career growth,Yes,4,Employee reported limited advancement opportunities.
400102,100475,2023-01-16,Voluntary,Better compensation,TRUE,3,Employee cited stronger pay package from another employer.
400103,100480,2024-06-16,voluntary,Personal reasons,1,4,Employee left for personal or family reasons.
400104,100488,2020-11-05,VOLUNTARY,Poor culture fit,TRUE,1,Employee felt the culture did not match expectations.
400105,100489,"Dec 16, 2022",Voluntary,Relocation,TRUE,5,Employee moved to another city or country.
400106,100493,14-09-2025,Voluntary,Better compensation,1,3,Employee cited stronger pay package from another employer.
400107,100502,"Jun 21, 2021",VOLUNTARY,Workload,TRUE,2,Employee described workload pressure and burnout risk.
400108,100511,2020-04-08,Voluntary,Manager relationship,Yes,,Employee mentioned lack of manager support and communication.
400109,100514,2018-10-04,voluntary,Relocation,TRUE,1,Employee moved to another city or country.
400110,100518,2023-02-26,VOLUNTARY,Manager relationship,Yes,1,Employee mentioned lack of manager support and communication.
400111,100525,"Feb 08, 2024",Voluntary,Career growth,TRUE,4,Employee reported limited advancement opportunities.
400112,100536,09/02/2024,Involuntary,Performance termination,No,2,Employment ended due to sustained performance issues.
400113,100538,2018/10/03,voluntary,Personal reasons,TRUE,4,Employee left for personal or family reasons.
400114,100543,01/31/2026,Voluntary,Manager relationship,TRUE,2,Employee mentioned lack of manager support and communication.
400115,100548,2019-02-21,voluntary,Career growth,TRUE,4,Employee reported limited advancement opportunities.
400116,100554,2026-02-13,Voluntary,Manager relationship,1,2,Employee mentioned lack of manager support and communication.
400117,100567,2025-08-08,Voluntary,Career growth,TRUE,1,Employee reported limited advancement opportunities.
400118,100573,2023-12-04,voluntary,Personal reasons,Yes,0,Employee left for personal or family reasons.
400119,100576,2022-01-07,VOLUNTARY,Poor culture fit,TRUE,3,Employee felt the culture did not match expectations.
400120,100578,04/11/2022,involuntary,performance termination,0,3,Employment ended due to sustained performance issues.
400121,100580,2019-06-27,Voluntary,Personal reasons,TRUE,1,Employee left for personal or family reasons.
400122,100584,2022-03-16,Voluntary,relocation,Yes,4,Employee moved to another city or country.
400123,100591,2025-09-21,voluntary,Career growth,TRUE,2,Employee reported limited advancement opportunities.
400124,100610,2025-04-20,VOLUNTARY,Better compensation,TRUE,2,Employee cited stronger pay package from another employer.
400125,100614,2021-12-21,Involuntary,Performance termination,No,1,Employment ended due to sustained performance issues.
400126,100621,07/02/2022,Voluntary,Poor culture fit,1,2,Employee felt the culture did not match expectations.
400127,100622,2025-04-18,involuntary,Performance termination,0,5,Employment ended due to sustained performance issues.
400128,100626,2023-06-06,voluntary,BETTER COMPENSATION,1,4,Employee cited stronger pay package from another employer.
400129,100633,2026-01-25,VOLUNTARY,Career growth,Yes,1,Employee reported limited advancement opportunities.
400130,100638,2026-03-17,Voluntary,Better compensation,1,2,Employee cited stronger pay package from another employer.
400131,100644,"Jul 26, 2023",voluntary,Poor culture fit,Yes,3,Employee felt the culture did not match expectations.
400132,100648,09-06-2022,Voluntary,Manager relationship,Yes,5,Employee mentioned lack of manager support and communication.
400133,100650,2025-11-18,Involuntary,Performance termination,0,,Employment ended due to sustained performance issues.
400134,100655,2017-10-21,Voluntary,Better compensation,Yes,3,Employee cited stronger pay package from another employer.
400135,100657,2025-11-01,Voluntary,Career growth,Yes,2,Employee reported limited advancement opportunities.
400136,100658,2022-03-07,VOLUNTARY,Workload,1,1,Employee described workload pressure and burnout risk.
400137,100666,2023-04-12,Voluntary,Personal reasons,Yes,3,Employee left for personal or family reasons.
400138,100668,"Mar 20, 2026",Voluntary,Better compensation,1,3,Employee cited stronger pay package from another employer.
400139,100669,2024-07-25,voluntary,Personal reasons,TRUE,3,Employee left for personal or family reasons.
400140,100672,14-09-2024,involuntary,Performance termination,FALSE,1,Employment ended due to sustained performance issues.
400141,100674,2025-11-25,INVOLUNTARY,Performance termination,0,1,Employment ended due to sustained performance issues.
400142,100680,"Nov 13, 2023",Voluntary,Career growth,Yes,2,Employee reported limited advancement opportunities.
400143,100689,11-01-2025,Voluntary,POOR CULTURE FIT,TRUE,2,Employee felt the culture did not match expectations.
400144,100695,2025-02-24,Voluntary,Better compensation,TRUE,1,Employee cited stronger pay package from another employer.
400145,100708,2026-01-01,VOLUNTARY,Career growth,Yes,4,Employee reported limited advancement opportunities.
400146,100714,2019-12-10,VOLUNTARY,Personal reasons,1,3,Employee left for personal or family reasons.
400147,100715,05/08/2020,VOLUNTARY,Poor culture fit,TRUE,1,Employee felt the culture did not match expectations.
400148,100721,2026-03-24,involuntary,Performance termination,0,3,Employment ended due to sustained performance issues.
400149,100725,2026/03/02,VOLUNTARY,Manager relationship,Yes,2,Employee mentioned lack of manager support and communication.
400150,100726,2020-05-19,voluntary,Manager relationship,Yes,5,Employee mentioned lack of manager support and communication.
400151,100727,2026-01-17,voluntary,Career growth,Yes,2,Employee reported limited advancement opportunities.
400152,100732,2025-11-14,Involuntary,Performance termination,No,3,Employment ended due to sustained performance issues.
400153,100734,2024-07-20,voluntary,Relocation,TRUE,1,Employee moved to another city or country.
400154,100735,2021-03-04,Voluntary,WORKLOAD,TRUE,1,Employee described workload pressure and burnout risk.
400155,100740,2026-03-30,voluntary,Poor culture fit,1,1,Employee felt the culture did not match expectations.
400156,100754,2024-09-29,involuntary,Performance termination,0,,Employment ended due to sustained performance issues.
400157,100756,2022-12-30,voluntary,Better compensation,Yes,4,Employee cited stronger pay package from another employer.
400158,100763,2026-03-12,voluntary,Better compensation,Yes,5,Employee cited stronger pay package from another employer.
400159,100766,"Nov 10, 2019",INVOLUNTARY,Performance termination,No,1,Employment ended due to sustained performance issues.
400160,100778,2020-04-04,voluntary,Better compensation,TRUE,1,Employee cited stronger pay package from another employer.
400161,100782,2026-01-29,VOLUNTARY,Career growth,1,1,Employee reported limited advancement opportunities.
400162,100788,2025-04-09,VOLUNTARY,Relocation,Yes,1,Employee moved to another city or country.
400163,100798,06/30/2019,VOLUNTARY,relocation,1,2,Employee moved to another city or country.
400164,100811,2024-11-08,VOLUNTARY,Personal reasons,TRUE,0,Employee left for personal or family reasons.
400165,100812,"Jan 27, 2018",Voluntary,Career growth,Yes,3,Employee reported limited advancement opportunities.
400166,100820,2025-10-11,voluntary,Better compensation,Yes,5,Employee cited stronger pay package from another employer.
400167,100822,12/20/2025,Voluntary,Manager relationship,TRUE,1,Employee mentioned lack of manager support and communication.
400168,100825,2019-06-05,voluntary,Manager relationship,1,4,Employee mentioned lack of manager support and communication.
400169,100828,01/02/2022,INVOLUNTARY,Performance termination,FALSE,3,Employment ended due to sustained performance issues.
400170,100829,"Mar 07, 2017",VOLUNTARY,Poor culture fit,TRUE,2,Employee felt the culture did not match expectations.
400171,100836,04-02-2026,Voluntary,Manager relationship,Yes,5,Employee mentioned lack of manager support and communication.
400172,100848,02/15/2024,voluntary,Better compensation,1,,Employee cited stronger pay package from another employer.
400173,100867,2025-05-01,voluntary,Career growth,Yes,4,Employee reported limited advancement opportunities.
400174,100870,2024-03-13,VOLUNTARY,Better compensation,1,5,Employee cited stronger pay package from another employer.
400175,100872,2024-04-09,voluntary,PERSONAL REASONS,Yes,3,Employee left for personal or family reasons.
400176,100873,2024-05-22,VOLUNTARY,Relocation,1,4,Employee moved to another city or country.
400177,100898,2025-07-08,voluntary,Workload,TRUE,5,Employee described workload pressure and burnout risk.
400178,100901,2021-03-12,VOLUNTARY,Personal reasons,TRUE,2,Employee left for personal or family reasons.
400179,100907,2020-07-31,voluntary,Career growth,Yes,3,Employee reported limited advancement opportunities.
400180,100908,2023-10-06,VOLUNTARY,Relocation,TRUE,,Employee moved to another city or country.
400181,100921,2025-12-05,voluntary,manager relationship,TRUE,4,Employee mentioned lack of manager support and communication.
400182,100936,2023-05-19,Voluntary,Manager relationship,TRUE,4,Employee mentioned lack of manager support and communication.
400183,100946,"Apr 10, 2026",Voluntary,Better compensation,TRUE,5,Employee cited stronger pay package from another employer.
400184,100949,2023-05-11,VOLUNTARY,Better compensation,TRUE,4,Employee cited stronger pay package from another employer.
400185,100951,2023-11-19,voluntary,poor culture fit,1,2,Employee felt the culture did not match expectations.
400186,100954,2025-09-07,Voluntary,Workload,TRUE,5,Employee described workload pressure and burnout risk.
400187,100961,2025-10-03,voluntary,Poor culture fit,TRUE,1,Employee felt the culture did not match expectations.
400188,100963,2026-01-29,Voluntary,Career growth,Yes,3,Employee reported limited advancement opportunities.
400189,100968,2025-07-16,VOLUNTARY,Workload,TRUE,3,Employee described workload pressure and burnout risk.
400190,100972,11/15/2021,Voluntary,Personal reasons,Yes,3,Employee left for personal or family reasons.
400191,100978,2024-04-22,VOLUNTARY,Career growth,1,0,Employee reported limited advancement opportunities.
400192,100989,2023-08-05,VOLUNTARY,Personal reasons,1,1,Employee left for personal or family reasons.
400193,100996,05/25/2025,Voluntary,Workload,Yes,4,Employee described workload pressure and burnout risk.
400194,100999,11/11/2019,VOLUNTARY,relocation,TRUE,4,Employee moved to another city or country.
400195,101003,2023-10-30,Voluntary,Relocation,Yes,2,Employee moved to another city or country.
400196,101008,24-04-2024,voluntary,Career growth,Yes,2,Employee reported limited advancement opportunities.
400197,101010,"Jan 27, 2022",Voluntary,Career growth,1,4,Employee reported limited advancement opportunities.
400198,101025,2025-11-29,voluntary,Career growth,Yes,,Employee reported limited advancement opportunities.
400199,101032,2025-05-09,VOLUNTARY,Career growth,TRUE,5,Employee reported limited advancement opportunities.
400200,101034,2017-08-03,Voluntary,Better compensation,TRUE,3,Employee cited stronger pay package from another employer.
400201,101038,01/07/2026,VOLUNTARY,Manager relationship,1,3,Employee mentioned lack of manager support and communication.
400202,101053,2024-10-18,Voluntary,Workload,Yes,2,Employee described workload pressure and burnout risk.
400203,101054,2025-12-08,voluntary,Career growth,TRUE,4,Employee reported limited advancement opportunities.
400204,101057,09-10-2024,VOLUNTARY,Manager relationship,1,4,Employee mentioned lack of manager support and communication.
400205,101065,2019-08-13,voluntary,Personal reasons,1,2,Employee left for personal or family reasons.
400206,101068,2024-02-01,Involuntary,Performance termination,0,1,Employment ended due to sustained performance issues.
400207,101075,2020-08-12,VOLUNTARY,Career growth,TRUE,0,Employee reported limited advancement opportunities.
400208,101080,"Oct 06, 2025",VOLUNTARY,Career growth,Yes,3,Employee reported limited advancement opportunities.
400209,101101,2021-06-10,Voluntary,Better compensation,1,2,Employee cited stronger pay package from another employer.
400210,101102,04/17/2023,Voluntary,Better compensation,Yes,5,Employee cited stronger pay package from another employer.
400211,101103,17-03-2026,Voluntary,Career growth,1,1,Employee reported limited advancement opportunities.
400212,101117,2024-12-16,voluntary,Workload,Yes,4,Employee described workload pressure and burnout risk.
400213,101121,2025-07-20,VOLUNTARY,Workload,Yes,5,Employee described workload pressure and burnout risk.
400214,101125,2019/02/13,Involuntary,Performance termination,0,1,Employment ended due to sustained performance issues.
400215,101128,2025-12-13,VOLUNTARY,Manager relationship,TRUE,6,Employee mentioned lack of manager support and communication.
400216,101130,2022/03/30,voluntary,Workload,Yes,2,Employee described workload pressure and burnout risk.
400217,101132,2025-05-16,voluntary,Workload,TRUE,2,Employee described workload pressure and burnout risk.
400218,101142,2022-01-17,VOLUNTARY,Personal reasons,TRUE,3,Employee left for personal or family reasons.
400219,101144,2025-06-20,Voluntary,Manager relationship,Yes,3,Employee mentioned lack of manager support and communication.
400220,101155,2023-05-06,VOLUNTARY,Career growth,TRUE,4,Employee reported limited advancement opportunities.
400221,101157,2026-04-12,involuntary,Performance termination,No,1,Employment ended due to sustained performance issues.
400222,101179,2023-02-14,Voluntary,Manager relationship,Yes,5,Employee mentioned lack of manager support and communication.
400223,101183,2024-03-22,VOLUNTARY,Workload,TRUE,2,Employee described workload pressure and burnout risk.
400224,101188,2015-11-28,VOLUNTARY,Better compensation,Yes,2,Employee cited stronger pay package from another employer.
400225,101200,2021-05-17,Voluntary,Career growth,TRUE,3,Employee reported limited advancement opportunities.
400226,101210,2019-01-28,VOLUNTARY,Poor culture fit,1,5,Employee felt the culture did not match expectations.
400227,101216,13-01-2025,VOLUNTARY,Career growth,Yes,3,Employee reported limited advancement opportunities.
400228,101224,2026-02-26,VOLUNTARY,Career growth,TRUE,4,Employee reported limited advancement opportunities.
400229,101235,2025-11-05,voluntary,manager relationship,TRUE,1,Employee mentioned lack of manager support and communication.
400230,101239,2022-06-14,VOLUNTARY,Career growth,Yes,5,Employee reported limited advancement opportunities.
400231,101241,2023-12-30,VOLUNTARY,Personal reasons,1,2,Employee left for personal or family reasons.
400232,101251,2025-12-11,VOLUNTARY,Workload,Yes,3,Employee described workload pressure and burnout risk.
400233,101252,2025-08-14,Voluntary,Poor culture fit,1,2,Employee felt the culture did not match expectations.
400234,101256,2015-06-21,Voluntary,Better compensation,TRUE,4,Employee cited stronger pay package from another employer.
400235,101259,2023/03/13,INVOLUNTARY,Performance termination,FALSE,3,Employment ended due to sustained performance issues.
400236,101264,2025-01-05,VOLUNTARY,manager relationship,TRUE,5,Employee mentioned lack of manager support and communication.
400237,101265,2023-09-05,voluntary,WORKLOAD,Yes,3,Employee described workload pressure and burnout risk.
400238,101266,"Dec 30, 2022",voluntary,Poor culture fit,1,1,Employee felt the culture did not match expectations.
400239,101272,2021-10-23,voluntary,Career growth,1,4,Employee reported limited advancement opportunities.
400240,101291,24-09-2023,Voluntary,Career growth,TRUE,3,Employee reported limited advancement opportunities.
400241,101292,2019-02-03,INVOLUNTARY,Performance termination,0,6,Employment ended due to sustained performance issues.
400242,101299,2023-04-22,Voluntary,Career growth,Yes,1,Employee reported limited advancement opportunities.
400243,101300,2022-04-08,Voluntary,Workload,1,4,Employee described workload pressure and burnout risk.
400244,101301,2025-01-09,Voluntary,Relocation,TRUE,2,Employee moved to another city or country.
400245,101314,2022-08-21,Voluntary,Workload,TRUE,1,Employee described workload pressure and burnout risk.
400246,101316,2016-12-23,Voluntary,Career growth,Yes,,Employee reported limited advancement opportunities.
400247,101320,04/07/2024,VOLUNTARY,Workload,Yes,2,Employee described workload pressure and burnout risk.
400248,101330,2022-03-06,Involuntary,Performance termination,FALSE,3,Employment ended due to sustained performance issues.
400249,101335,2026-02-09,Voluntary,Poor culture fit,1,2,Employee felt the culture did not match expectations.
400250,101345,2025-01-17,VOLUNTARY,BETTER COMPENSATION,1,4,Employee cited stronger pay package from another employer.
400251,101351,2026-03-03,voluntary,Poor culture fit,TRUE,4,Employee felt the culture did not match expectations.
400252,101352,2024-11-09,Voluntary,Better compensation,1,4,Employee cited stronger pay package from another employer.
400253,101356,2021-02-15,Voluntary,Personal reasons,1,5,Employee left for personal or family reasons.
400254,101359,2026-03-02,VOLUNTARY,Better compensation,TRUE,5,Employee cited stronger pay package from another employer.
400255,101377,08-01-2026,Involuntary,Performance termination,0,5,Employment ended due to sustained performance issues.
400256,101378,2024-08-16,voluntary,Manager relationship,1,1,Employee mentioned lack of manager support and communication.
400257,101379,08/31/2024,INVOLUNTARY,Performance termination,No,4,Employment ended due to sustained performance issues.
400258,101384,2026-02-27,VOLUNTARY,Career growth,TRUE,5,Employee reported limited advancement opportunities.
400259,101390,10-12-2022,VOLUNTARY,Better compensation,Yes,3,Employee cited stronger pay package from another employer.
400260,101392,2024-12-02,Voluntary,Workload,TRUE,1,Employee described workload pressure and burnout risk.
400261,101407,2025-03-12,Voluntary,Workload,1,4,Employee described workload pressure and burnout risk.
400262,101413,2025-03-06,voluntary,Personal reasons,1,4,Employee left for personal or family reasons.
400263,101414,06/29/2015,Voluntary,Personal reasons,1,1,Employee left for personal or family reasons.
400264,101416,11/26/2024,voluntary,Personal reasons,1,1,Employee left for personal or family reasons.
400265,101417,2025-10-02,Voluntary,Personal reasons,TRUE,6,Employee left for personal or family reasons.
400266,101421,2025-10-21,voluntary,Manager relationship,1,0,Employee mentioned lack of manager support and communication.
400267,101424,"Jun 13, 2025",VOLUNTARY,Better compensation,1,4,Employee cited stronger pay package from another employer.
400268,101425,2021-09-03,VOLUNTARY,Personal reasons,1,,Employee left for personal or family reasons.
400269,101426,2026/01/26,VOLUNTARY,Poor culture fit,Yes,0,Employee felt the culture did not match expectations.
400270,101428,2024-10-11,Involuntary,Performance termination,No,1,Employment ended due to sustained performance issues.
400271,101432,2023-08-11,Voluntary,Personal reasons,1,4,Employee left for personal or family reasons.
400272,101434,"Mar 28, 2023",Voluntary,Manager relationship,TRUE,5,Employee mentioned lack of manager support and communication.
400273,101439,2026-03-08,VOLUNTARY,Personal reasons,1,3,Employee left for personal or family reasons.
400274,101446,2026-01-10,Voluntary,Career growth,TRUE,5,Employee reported limited advancement opportunities.
400275,101454,2023-08-30,Voluntary,Career growth,1,3,Employee reported limited advancement opportunities.
400276,101455,2023-12-05,Voluntary,Personal reasons,Yes,5,Employee left for personal or family reasons.
400277,101460,2019-01-17,Voluntary,Workload,1,3,Employee described workload pressure and burnout risk.
400278,101462,2024-09-12,VOLUNTARY,Manager relationship,1,4,Employee mentioned lack of manager support and communication.
400279,101465,2024-04-02,Voluntary,Manager relationship,Yes,4,Employee mentioned lack of manager support and communication.
400280,101470,2024-09-27,voluntary,Manager relationship,Yes,5,Employee mentioned lack of manager support and communication.
400281,101471,2023-03-05,voluntary,Career growth,Yes,1,Employee reported limited advancement opportunities.
400282,101478,2026-01-02,voluntary,Poor culture fit,TRUE,0,Employee felt the culture did not match expectations.
400283,101480,2025-06-16,involuntary,Performance termination,No,2,Employment ended due to sustained performance issues.
400284,101485,08/20/2025,VOLUNTARY,personal reasons,Yes,5,Employee left for personal or family reasons.
400285,101489,03-04-2021,Involuntary,Performance termination,No,4,Employment ended due to sustained performance issues.
400286,101491,2026-04-13,VOLUNTARY,Better compensation,Yes,6,Employee cited stronger pay package from another employer.
400287,101492,2024-08-25,INVOLUNTARY,PERFORMANCE TERMINATION,FALSE,3,Employment ended due to sustained performance issues.
400288,101504,2023/02/06,voluntary,Better compensation,TRUE,3,Employee cited stronger pay package from another employer.
400289,101516,2018-11-22,Voluntary,Poor culture fit,TRUE,4,Employee felt the culture did not match expectations.
400290,101518,2020-11-06,Voluntary,Workload,TRUE,5,Employee described workload pressure and burnout risk.
400291,101519,2022-10-23,Voluntary,Better compensation,1,1,Employee cited stronger pay package from another employer.
